"SourceRun","FullName","Extension","Bytes","MiB","SHA256"
"music_video_30s_cell_vectors_20260518","D:\arc_solver_clean\cod_616\data\truevision_full\music_video_30s_cell_vectors_20260518\music_video_30s_cell_vectors_20260518_manifest.json",".json","6994","0.00667","4C4360DAE35DE0E7A59A20BBD9B3CB2F96404F09FCD80E387933476EA2C8F2AF"
"music_video_30s_cell_vectors_20260518","D:\arc_solver_clean\cod_616\data\truevision_full\music_video_30s_cell_vectors_20260518\music_video_30s_cell_vectors_20260518_records.jsonl",".jsonl","2227637","2.12444","5D2C504CF00E4F2395A6A87B676FC046FEE23AFBA5D5188E42E4F4A8F0C73027"
"music_video_30s_cell_vectors_20260518","D:\arc_solver_clean\cod_616\data\truevision_full\music_video_30s_cell_vectors_20260518\music_video_30s_cell_vectors_20260518_summary.json",".json","3798","0.003622","1CE59A7441D2C676908F83918F6EF7DCE5DFE1C4A021A8DD679EBFD79360CD7A"
"music_video_30s_cell_vectors_20260518","D:\arc_solver_clean\cod_616\data\truevision_full\music_video_30s_cell_vectors_20260518\cell_state_npz\music_video_30s_cell_vectors_20260518_cells_0000.npz",".npz","9700402","9.251024","000ADF15549FCF04D2E56AEDAEED8E539BF50D3BA3EDC0391A0114A42A03990E"
"music_video_30s_cell_vectors_20260518","D:\arc_solver_clean\cod_616\data\truevision_full\music_video_30s_cell_vectors_20260518\cell_state_npz\music_video_30s_cell_vectors_20260518_cells_0001.npz",".npz","8370812","7.983028","16896BFD1F9659C5B91294E6900F6529F7C3F9AD2E06B3F7C8B68AD1D3B11BEE"
"music_video_30s_cell_vectors_20260518","D:\arc_solver_clean\cod_616\data\truevision_full\music_video_30s_cell_vectors_20260518\cell_state_npz\music_video_30s_cell_vectors_20260518_cells_0002.npz",".npz","7679337","7.323586","E5E10FBB282E74C3BC23B5322F932F2F0848B497B58031613E6B1461ABDFC6E7"
"music_video_30s_cell_vectors_20260518","D:\arc_solver_clean\cod_616\data\truevision_full\music_video_30s_cell_vectors_20260518\cell_state_npz\music_video_30s_cell_vectors_20260518_cells_0003.npz",".npz","5753615","5.487075","4272FC141D35D49B56461A7616A634C77A6CCE2AE53E8CA3E68AAE6E3476B69B"
"music_video_30s_cell_vectors_20260518","D:\arc_solver_clean\cod_616\data\truevision_full\music_video_30s_cell_vectors_20260518\cell_state_npz\music_video_30s_cell_vectors_20260518_cells_0004.npz",".npz","7583171","7.231875","FBE1D4A8D110DB5908C8A25A043DDA57C08B36A5A8CE11396EA66C25BEA59C5C"
"music_video_30s_cell_vectors_20260518","D:\arc_solver_clean\cod_616\data\truevision_full\music_video_30s_cell_vectors_20260518\cell_state_npz\music_video_30s_cell_vectors_20260518_cells_0005.npz",".npz","5814509","5.545148","B068FF3F8DD6093B5EAA934644A2483CD94FC675C6C0D3AF8896E49913D81A57"
"music_video_30s_cell_vectors_20260518","D:\arc_solver_clean\cod_616\data\truevision_full\music_video_30s_cell_vectors_20260518\cell_state_npz\music_video_30s_cell_vectors_20260518_cells_0006.npz",".npz","442457","0.42196","07F587EA5DCF511DB7E0A3C1111AFC376D032F7C6C036EBCD644C8F052A9DA97"
"music_video_30s_cell_vectors_20260518","D:\arc_solver_clean\cod_616\data\truevision_full\music_video_30s_cell_vectors_20260518\cell_state_npz\music_video_30s_cell_vectors_20260518_cells_0007.npz",".npz","2776274","2.647661","AFE2738CD1DDD07E941553FD6363B7C605C4035A51CBC7FC6256772AA02C2356"
"music_video_30s_cell_vectors_20260518","D:\arc_solver_clean\cod_616\data\truevision_full\music_video_30s_cell_vectors_20260518\cell_state_npz\music_video_30s_cell_vectors_20260518_cells_0008.npz",".npz","525110","0.500784","B060DB22835A9ED479F0A18D7F857E3013E54D73065B00A214D68494FC6AC0B8"
